日期,连板数,股票总数,上涨数,下跌数,平盘数,无数据数,上涨比例,上涨/下跌比,平均涨跌幅
20260522,2,7,1,3,0,3,25.0,1:3.0,0.85
20260522,3,3,0,0,0,3,0.0,N/A,0.0
20260522,4,0,0,0,0,0,0.0,N/A,0.0
20260522,5,0,0,0,0,0,0.0,N/A,0.0
20260522,6,0,0,0,0,0,0.0,N/A,0.0
20260521,2,3,0,0,0,3,0.0,N/A,0.0
20260521,3,0,0,0,0,0,0.0,N/A,0.0
20260521,4,1,0,0,0,1,0.0,N/A,0.0
20260521,5,0,0,0,0,0,0.0,N/A,0.0
20260521,6,0,0,0,0,0,0.0,N/A,0.0
20260520,2,3,0,0,0,3,0.0,N/A,0.0
20260520,3,4,0,0,0,4,0.0,N/A,0.0
20260520,4,1,0,0,0,1,0.0,N/A,0.0
20260520,5,0,0,0,0,0,0.0,N/A,0.0
20260520,6,1,0,0,0,1,0.0,N/A,0.0
20260519,2,13,0,0,0,13,0.0,N/A,0.0
20260519,3,2,0,0,0,2,0.0,N/A,0.0
20260519,4,1,0,0,0,1,0.0,N/A,0.0
20260519,5,1,0,0,0,1,0.0,N/A,0.0
20260519,6,0,0,0,0,0,0.0,N/A,0.0
20260518,2,5,0,0,0,5,0.0,N/A,0.0
20260518,3,1,0,0,0,1,0.0,N/A,0.0
20260518,4,2,0,0,0,2,0.0,N/A,0.0
20260518,5,0,0,0,0,0,0.0,N/A,0.0
20260518,6,1,0,0,0,1,0.0,N/A,0.0
